"Suspect","Reported_Age","Day_of_Arrest","Time_of_Arrest","measured_BAC"
727,"37",2025-11-16,23.5,0.095
728,"54",2025-11-22,22,0.125
729,"36",2025-11-23,21.5,0.108
730,"48",2025-11-24,21.5,0.094
731,"39",2025-11-25,1.5,0.128
732,"33",2025-11-26,4.5,0.122
733,"25",2025-11-27,13,0.111
734,"30",2025-11-28,4.5,0.103
735,"64",2025-12-01,2.5,0.105
736,"31",2025-12-02,23.5,0.108
737,"61",2025-12-03,22.5,0.127
738,"65",2025-12-04,22.5,0.124
739,"56",2025-12-05,1,0.091
740,"33",2025-12-06,10.5,0.11
741,"60",2025-12-07,3,0.12
742,"19",2025-12-08,21.5,0.092
743,"37",2025-12-09,2.5,0.13
744,"34",2025-12-10,0.5,0.124
745,"25",2025-12-12,19,0.125
746,"34",2025-12-14,1.5,0.093
747,"40",2025-12-16,3,0.129
748,"52",2025-12-18,5.5,0.128
749,"40",2025-12-19,3.5,0.11
750,"26",2025-12-21,15.5,0.107
751,"51",2025-12-22,22,0.116
752,"27",2025-12-23,5.5,0.124
753,"37",2025-12-24,15.5,0.125
754,"44",2025-12-25,0,0.129
755,"49",2025-12-30,2.5,0.071
756,"NA",2026-01-01,0.5,0.119
757,"57",2026-01-02,18.5,0.12
758,"30",2026-01-05,0.5,0.115
759,"42",2026-01-07,6,0.098
760,"37",2026-01-08,4,0.124
761,"40",2026-01-10,1.5,0.082
762,"22",2026-01-11,23.5,0.113
763,"67",2026-01-12,2,0.122
764,"69",2026-01-13,5.5,0.114
765,"55",2026-01-14,23.5,0.07
766,"27",2026-01-15,3.5,0.129
767,"69",2026-01-16,4,0.115
768,"61",2026-01-17,5,0.12
